Dataset name,delta_t,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SDModel tau,SDModel L,SCDModel MSE,SCDModel AUPRC,SCDModel tau,SCDModel L,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel tau,SCDOModel L,SCDOModel coefs
College graph 1,3600,3.8349488769694937,0.3946673148577418,3.537995761621359,0.3441129320967313,0.1,0.5,3.702435494570186,0.3509254913679955,0.1,0.5,[0.08271278 0.38312028 0.02055974 0.05794399],3.703659468136197,0.3516531027255144,0.1,0.5,[0.07811633 0.4189902  0.01585978 0.03795655]
College graph 1,86400,267.3684158146162,0.8497815226379959,202.15701919084,0.8368264121373605,0.5,0.5,186.81093564405836,0.8224786242929121,0.5,0.5,[2.27203838 0.47650158 0.07111875 0.0458118 ],187.110588604342,0.8241123358246496,0.5,0.5,[1.9422818  0.46738403 0.05857497 0.12955534]
College graph 1,259200,1569.1172858318348,0.9093523624489734,1205.9860753664088,0.8815587487192248,0.5,0.5,1303.4999185114964,0.8782994497808029,0.1,0.5,[9.98946524 0.35167018 0.04359063 0.        ],1303.2379560810027,0.8770441957438864,0.1,0.5,[9.73430401 0.34240863 0.04256854 0.02271976]
College graph 2,3600,0.8391799055388579,0.2504668607328776,0.4340176443244822,0.2535955992635468,0.1,0.25,1.2995666764843383,0.1576282885204321,0.1,0.25,[0.03309486 0.27837249 0.01689802 0.03828826],1.2977429372290437,0.1621977418516843,0.1,0.25,[0.03323917 0.30943796 0.01688269 0.00418349]
College graph 2,86400,56.44260843776144,0.6791790979076278,30.0609394279756,0.6776047486371521,0.1,0.25,64.3488835541755,0.6277652242665045,0.1,0.25,[0.29175398 0.71538305 0.0444436  0.0392195 ],64.37478790616503,0.6289359232781785,0.1,0.25,[0.26916923 0.73560057 0.0402531  0.04366644]
College graph 2,259200,141.2152438945054,0.7954104685517628,106.909207542515,0.809835129479765,0.5,0.25,139.96251254760062,0.759913604659303,0.1,0.25,[1.20242852 0.64356818 0.03084784 0.02734512],140.0284623358978,0.7596724633572423,0.1,0.25,[1.16954247 0.65710249 0.0286828  0.02735597]
Hypertext graph,600,57.81209927140255,0.7725040709410439,51.54671065059621,0.7561705429572195,1.0,0.25,57.5322522418443,0.7463719022739335,0.1,0.25,[0.48368634 0.67785297 0.17935359 0.07970655],58.16896068451977,0.7467024258693271,0.1,0.25,[0.38958133 0.65082715 0.06654786 0.28311603]
Hypertext graph,1800,409.1229284242587,0.84340773245062,339.0697926335876,0.8173066971571243,0.5,0.25,374.76587719022274,0.8370928421999909,0.1,0.25,[2.04208863 0.63318818 0.16639092 0.10580924],376.5714270441461,0.8371969273628018,0.1,0.25,[1.79308428 0.62825579 0.04746305 0.25843832]
Hypertext graph,3600,1372.5269912237125,0.8869624491149155,1070.5722957715311,0.8452791513166411,0.5,0.25,1446.9458388635649,0.8896578178601847,0.1,0.25,[5.40182641 0.65908127 0.12106889 0.10928746],1537.806897722039,0.8898213419264422,0.1,0.25,[4.88405046 0.64719184 0.02546325 0.25829733]
SFHH graph,600,108.83633200470466,0.8128440785014631,104.4827449091474,0.7742579024818098,1.0,0.5,102.84813646870676,0.7265448014335624,0.5,0.5,[1.02281518 0.61554261 0.07630604 0.13427808],106.34731092647044,0.7265274745359758,0.5,0.5,[0.96688988 0.65889617 0.02984911 0.17868904]
