Dataset name,delta_t,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SDModel tau,SDModel L,SCDModel MSE,SCDModel AUPRC,SCDModel tau,SCDModel L,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel tau,SCDOModel L,SCDOModel coefs
College graph 1,3600,5.550952061682869,0.4454023177316365,4.420389249021727,0.4264081479946865,0.5,10,4.222656547791902,0.4422567744794718,5.0,10,[0.30384931 0.16781151 0.         0.        ],4.222656547791902,0.4422567744794718,5.0,10,[0.30384931 0.16781151 0.         0.        ]
College graph 1,86400,342.3148454449427,0.87161137369132,255.4229654516976,0.8549765650558374,0.25,10,236.13149760832655,0.8011910258761915,0.75,10,[2.45245612 0.49612573 0.10039685 0.09061167],235.6318146533185,0.8011910258761915,0.75,10,[2.18915266 0.49956867 0.06822973 0.18568474]
College graph 1,259200,1547.720890602302,0.9151844301997532,1198.7125129923904,0.8890208223092675,0.5,10,1044.017607277196,0.8741793775840876,0.75,10,[3.49829329 0.43752513 0.0970858  0.13561898],1042.6674898718145,0.8741793775840876,0.75,10,[2.99230811 0.46294891 0.06941894 0.19439335]
College graph 2,3600,0.6016487762988407,0.2696138655044677,0.5341035599465173,0.3247982655402045,1.0,10,0.6689095457471969,0.5266859882639187,0.25,10,[0.10755689 0.         0.         0.        ],0.6689095457471969,0.5266859882639187,0.25,10,[0.10755689 0.         0.         0.        ]
College graph 2,86400,63.023048807328856,0.7033368870289086,35.20646575328968,0.7069415970644629,0.25,10,33.60856395192277,0.712801827840737,0.25,10,[0.53752442 0.66735092 0.00969038 0.        ],33.6083997047574,0.7127966373638307,0.25,10,[0.53746454 0.66731905 0.00980445 0.        ]
College graph 2,259200,141.2152438945054,0.7954104685517628,106.90920754251498,0.809835129479765,0.5,10,99.72902633969063,0.7537504716551517,0.75,10,[1.06817114 0.72877918 0.01619923 0.        ],99.72902404407225,0.7537504716551517,0.75,10,[1.06816881 0.72877882 0.01620074 0.        ]
Hypertext graph,600,58.12570443914244,0.781734874233397,54.14965135022928,0.7656177396670109,1.0,10,46.66589706807114,0.7337081077845335,5.0,10,[1.61858118 0.5741822  0.04128505 0.00943559],46.63697693868631,0.7337081077845335,5.0,10,[1.59878128 0.56690403 0.         0.06858016]
Hypertext graph,1800,475.5903563457246,0.8530442549323602,394.1223167357389,0.830753025769128,0.5,10,348.2303969998308,0.8129826316734652,4.5,10,[6.23234474 0.43373112 0.05007232 0.        ],348.23035995407787,0.8129826316734652,4.5,10,[6.23216049 0.43371071 0.05011127 0.        ]
Hypertext graph,3600,1372.5269912237125,0.8869624491149155,1070.5722957715311,0.8452791513166411,0.5,10,958.5519428611728,0.8423097091129879,1.5,10,[11.26528098  0.46351986  0.          0.        ],958.5519428611728,0.8423097091129879,1.5,10,[11.26528098  0.46351986  0.          0.        ]
SFHH graph,600,181.4219036565161,0.8496225328856538,176.9999494265641,0.8313249115353052,1.5,10,150.9528162058424,0.721387562352149,5.0,10,[1.68892113 0.49921802 0.06548115 0.2174314 ],151.0596328391783,0.721387562352149,5.0,10,[1.90336388 0.56622018 0.         0.23866276]
SFHH graph,1800,1333.5134097967466,0.8188596883576703,1168.0437052942343,0.7685696184373586,0.5,10,1020.1986947450024,0.7663771101749639,3.5,10,[7.88703637 0.42906255 0.         0.16720719],1022.8633579004012,0.7663771101749639,3.25,10,[8.90280767 0.53500145 0.         0.03115778]
SFHH graph,3600,4804.284631468896,0.7981547300342031,3922.946191842375,0.7777613077948178,0.5,10,3074.0798973693413,0.7803711447987454,2.0,10,[19.53926025  0.32955728  0.          0.        ],3074.0798973693413,0.7803711447987454,2.0,10,[19.53926025  0.32955728  0.          0.        ]
Socio-calls graph,3600,1.408136924803591,0.2883015235515843,1.015441927344619,0.2266006137656467,0.25,10,0.9626749413325184,0.537384960718294,0.25,10,[0.17949495 0.         0.         0.        ],0.9626749413325184,0.537384960718294,0.25,10,[0.17949495 0.         0.         0.        ]
Socio-calls graph,86400,19.61208115854956,0.7018208986777595,12.138516930918556,0.7241246429368302,0.25,10,11.90631575492636,0.7310434795484418,0.25,10,[0.71258999 0.62172557 0.         0.        ],11.90631575492636,0.7310434795484418,0.25,10,[0.71258999 0.62172557 0.         0.        ]
Socio-calls graph,259200,63.33024038837992,0.863599181200262,43.62489442324131,0.8663253440206631,0.25,10,42.46405542584104,0.8464868685329157,0.25,10,[0.78408099 0.81680307 0.01100987 0.        ],42.464291586527125,0.8464693783478556,0.25,10,[0.78458742 0.8170659  0.01062834 0.        ]
Socio-sms graph,3600,5.276718749999999,0.6793035357685997,5.177272136817166,0.6168905422832822,0.5,10,4.934360252947743,0.6492771064333963,5.0,10,[0.27704    0.51963057 0.         0.00058632],4.934588501357677,0.6492771064333963,5.0,10,[0.27713421 0.52010269 0.         0.        ]
Socio-sms graph,86400,389.3790838068181,0.6127314954942278,309.5375400867369,0.6616150287885522,0.5,10,284.5973638030339,0.6254438920454546,1.25,10,[2.09783006 0.45257799 0.09193629 0.06221411],284.69446710989234,0.6254438920454546,1.25,10,[2.14293444 0.47017443 0.11383927 0.0243068 ]
Socio-sms graph,259200,1850.1736438679245,0.7377955295764642,1448.596124946029,0.7666039758108304,0.25,10,1330.4252823753184,0.7104952830188679,3.5,10,[6.55505237e+00 4.26926634e-01 5.32282676e-02 5.89236138e-03],1329.765933323176,0.7104952830188679,3.5,10,[6.47749311e+00 4.32056980e-01 4.88047286e-03 5.43958785e-02]
