Dataset,Aggregation Time,Metric,Lag,Value
Hypertext graph,10m,Autocorrelation,0,1.0
Hypertext graph,10m,Autocorrelation,1,0.5329286336287784
Hypertext graph,10m,Autocorrelation,2,0.2969559031985354
Hypertext graph,10m,Autocorrelation,3,0.18053431440738923
Hypertext graph,10m,Autocorrelation,4,0.12437053941992701
Hypertext graph,10m,Autocorrelation,5,0.10082504777303795
Hypertext graph,10m,Autocorrelation,6,0.08067330899974695
Hypertext graph,30m,Autocorrelation,0,1.0
Hypertext graph,30m,Autocorrelation,1,0.3758694621065137
Hypertext graph,30m,Autocorrelation,2,0.12954565833882553
Hypertext graph,30m,Autocorrelation,3,0.08054882219907138
Hypertext graph,30m,Autocorrelation,4,0.07433559592729595
Hypertext graph,30m,Autocorrelation,5,0.06462118746352644
Hypertext graph,30m,Autocorrelation,6,-0.004210484848172764
Hypertext graph,1h,Autocorrelation,0,1.0
Hypertext graph,1h,Autocorrelation,1,0.26412223516096145
Hypertext graph,1h,Autocorrelation,2,0.12545549777881435
Hypertext graph,1h,Autocorrelation,3,0.013899617000664173
Hypertext graph,1h,Autocorrelation,4,0.007350468338149094
Hypertext graph,1h,Autocorrelation,5,0.001175278907131015
Hypertext graph,1h,Autocorrelation,6,-0.01323823666964763
Hypertext graph,10m,Weighted Jaccard Similarity,0,1.0
Hypertext graph,10m,Weighted Jaccard Similarity,1,0.35825215463985816
Hypertext graph,10m,Weighted Jaccard Similarity,2,0.24393189126850418
Hypertext graph,10m,Weighted Jaccard Similarity,3,0.19486337508276327
Hypertext graph,10m,Weighted Jaccard Similarity,4,0.17305036796468645
Hypertext graph,10m,Weighted Jaccard Similarity,5,0.16287811037785702
Hypertext graph,10m,Weighted Jaccard Similarity,6,0.1565170240378486
Hypertext graph,30m,Weighted Jaccard Similarity,0,1.0
Hypertext graph,30m,Weighted Jaccard Similarity,1,0.31865315542167344
Hypertext graph,30m,Weighted Jaccard Similarity,2,0.21995240391003867
Hypertext graph,30m,Weighted Jaccard Similarity,3,0.21359701649645496
Hypertext graph,30m,Weighted Jaccard Similarity,4,0.20409886265998814
Hypertext graph,30m,Weighted Jaccard Similarity,5,0.1937750067968089
Hypertext graph,30m,Weighted Jaccard Similarity,6,0.16839599977275282
Hypertext graph,1h,Weighted Jaccard Similarity,0,1.0
Hypertext graph,1h,Weighted Jaccard Similarity,1,0.3064910104558735
Hypertext graph,1h,Weighted Jaccard Similarity,2,0.2646123591724333
Hypertext graph,1h,Weighted Jaccard Similarity,3,0.2090899523849288
Hypertext graph,1h,Weighted Jaccard Similarity,4,0.20343054037162903
Hypertext graph,1h,Weighted Jaccard Similarity,5,0.18625724370509578
Hypertext graph,1h,Weighted Jaccard Similarity,6,0.18210527679294417
SFHH graph,10m,Autocorrelation,0,1.0
SFHH graph,10m,Autocorrelation,1,0.5986852382145765
SFHH graph,10m,Autocorrelation,2,0.3379971603468775
SFHH graph,10m,Autocorrelation,3,0.2096142459664886
SFHH graph,10m,Autocorrelation,4,0.12422032189255147
SFHH graph,10m,Autocorrelation,5,0.0725083161919669
SFHH graph,10m,Autocorrelation,6,0.03466947274998389
SFHH graph,30m,Autocorrelation,0,1.0
SFHH graph,30m,Autocorrelation,1,0.38191155027073725
SFHH graph,30m,Autocorrelation,2,0.07334598666582182
SFHH graph,30m,Autocorrelation,3,-0.004010307504512093
SFHH graph,30m,Autocorrelation,4,0.035195465678838404
SFHH graph,30m,Autocorrelation,5,0.03425553262385496
SFHH graph,30m,Autocorrelation,6,0.020708280725982495
SFHH graph,1h,Autocorrelation,0,1.0
SFHH graph,1h,Autocorrelation,1,0.16859250120703703
SFHH graph,1h,Autocorrelation,2,0.014326123294997365
SFHH graph,1h,Autocorrelation,3,0.029380923902448387
SFHH graph,1h,Autocorrelation,4,-0.12370707434033129
SFHH graph,1h,Autocorrelation,5,-0.14637499473138285
SFHH graph,1h,Autocorrelation,6,-0.1665445841935207
SFHH graph,10m,Weighted Jaccard Similarity,0,1.0
SFHH graph,10m,Weighted Jaccard Similarity,1,0.41548243110249283
SFHH graph,10m,Weighted Jaccard Similarity,2,0.2807329938498395
SFHH graph,10m,Weighted Jaccard Similarity,3,0.2202979684385792
SFHH graph,10m,Weighted Jaccard Similarity,4,0.18289857772034052
SFHH graph,10m,Weighted Jaccard Similarity,5,0.1598132368378252
SFHH graph,10m,Weighted Jaccard Similarity,6,0.1451612727522332
SFHH graph,30m,Weighted Jaccard Similarity,0,1.0
SFHH graph,30m,Weighted Jaccard Similarity,1,0.3226001191222645
SFHH graph,30m,Weighted Jaccard Similarity,2,0.19817410492456974
SFHH graph,30m,Weighted Jaccard Similarity,3,0.1706481094312818
SFHH graph,30m,Weighted Jaccard Similarity,4,0.1802639931450661
SFHH graph,30m,Weighted Jaccard Similarity,5,0.1753614789262618
SFHH graph,30m,Weighted Jaccard Similarity,6,0.1637233624130763
SFHH graph,1h,Weighted Jaccard Similarity,0,1.0
SFHH graph,1h,Weighted Jaccard Similarity,1,0.28213405312929585
SFHH graph,1h,Weighted Jaccard Similarity,2,0.22000450319070744
SFHH graph,1h,Weighted Jaccard Similarity,3,0.20952726154515502
SFHH graph,1h,Weighted Jaccard Similarity,4,0.15664523512860812
SFHH graph,1h,Weighted Jaccard Similarity,5,0.1440428103252085
SFHH graph,1h,Weighted Jaccard Similarity,6,0.1297234206477444
