Dataset,Delta t,SDModel tau,SDModel L,SCDModel tau,SCDModel L,SCDModel coefs,SCDOModel tau,SCDOModel L,SCDOModel coefs
Hypertext graph,600,1.0,5,0.1,1,"(0.4, 0.3, 0.3)",0.1,1,"(0.4, 0.1, 0.5)"
Hypertext graph,1800,0.5,5,1.0,5,"(0.4, 0.5, 0.1)",1.0,5,"(0.4, 0.1, 0.5)"
Hypertext graph,3600,0.5,10,0.5,10,"(0.4, 0.5, 0.1)",0.5,10,"(0.4, 0.1, 0.5)"
SFHH graph,600,3.0,3,0.1,1,"(0.4, 0.2, 0.4)",0.1,1,"(0.4, 0.1, 0.5)"
SFHH graph,1800,0.5,10,1.0,10,"(0.4, 0.2, 0.4)",1.0,10,"(0.4, 0.1, 0.5)"
SFHH graph,3600,0.5,10,1.0,10,"(0.2, 0.2, 0.6)",1.0,10,"(0.2, 0.2, 0.6)"
College graph 1,3600,0.5,10,0.1,1,"(0.2, 0.4, 0.4)",0.1,1,"(0.2, 0.2, 0.6)"
College graph 1,86400,0.5,5,0.5,3,"(0.4, 0.3, 0.3)",1.0,3,"(0.4, 0.1, 0.5)"
College graph 1,259200,0.5,10,1.0,10,"(0.4, 0.3, 0.3)",1.0,10,"(0.4, 0.1, 0.5)"
College graph 2,3600,0.1,10,0.5,10,"(0.2, 0.4, 0.4)",0.5,10,"(0.4, 0.1, 0.5)"
College graph 2,86400,0.1,10,0.1,10,"(0.6, 0.2, 0.2)",0.1,10,"(0.6, 0.1, 0.3)"
College graph 2,259200,0.5,10,0.5,10,"(0.6, 0.1, 0.3)",0.5,10,"(0.8, 0.1, 0.1)"
Socio-calls graph,3600,0.1,10,3.0,5,"(0.4, 0.5, 0.1)",0.1,10,"(0.6, 0.3, 0.1)"
Socio-calls graph,86400,0.1,10,0.1,10,"(0.6, 0.2, 0.2)",0.1,10,"(0.8, 0, 0.2)"
Socio-calls graph,259200,0.5,10,0.5,10,"(0.8, 0.1, 0.1)",0.5,10,"(0.8, 0, 0.2)"
Socio-sms graph,3600,0.5,10,0.1,5,"(0.4, 0.5, 0.1)",0.1,10,"(0.6, 0.1, 0.3)"
Socio-sms graph,86400,0.5,10,0.5,5,"(0.4, 0.5, 0.1)",0.5,5,"(0.6, 0.2, 0.2)"
Socio-sms graph,259200,0.1,10,0.5,10,"(0.6, 0.4, 0)",0.5,10,"(0.6, 0.2, 0.2)"
