Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
Hypertext graph,1800,0.5,3,459.20797720797725,0.8562892588749283,417.190357201032,0.8493424459295416,357.18897572301046,0.818125029190603,[5.63500094 0.52877087 0.         0.        ],357.18897572301046,0.818125029190603,[5.63500094 0.52877087 0.         0.        ]
Hypertext graph,1800,0.5,5,458.2935600613556,0.8543749610705461,391.6876526028945,0.8426562272889792,352.24195561159513,0.8159063129134312,[4.97267008 0.57531352 0.         0.        ],352.24195561159513,0.8159063129134312,[4.97267008 0.57531352 0.         0.        ]
Hypertext graph,1800,0.5,1,455.1735541894353,0.8547904556367063,455.1735541894353,0.8547904556367063,337.2875253573116,0.8135701275045537,[6.19237116 0.47773318 0.         0.        ],337.2875253573116,0.8135701275045537,[6.19237116 0.47773318 0.         0.        ]
Hypertext graph,1800,0.5,10,475.5903563457246,0.8530442549323602,394.12231673573893,0.830753025769128,364.059950379904,0.8129826316734652,[4.71429761 0.60942093 0.         0.        ],364.059950379904,0.8129826316734652,[4.71429761 0.60942093 0.         0.        ]
Hypertext graph,1800,1,1,455.1735541894353,0.8547904556367063,455.1735541894353,0.8547904556367063,337.2875253573116,0.8135701275045537,[6.19237116 0.47773318 0.         0.        ],337.2875253573116,0.8135701275045537,[6.19237116 0.47773318 0.         0.        ]
Hypertext graph,600,1,10,58.12570443914244,0.781734874233397,54.14965135022928,0.7656177396670109,48.707688508614055,0.7337081077845335,[1.42335820e+00 6.67897399e-01 1.94931563e-05 0.00000000e+00],48.70770725238995,0.7337081077845335,[1.42339575 0.66790683 0.         0.        ]
Hypertext graph,1800,1,3,459.20797720797725,0.8562892588749283,413.00679804033086,0.8499240719791791,346.00329922237523,0.818125029190603,[5.58304065 0.53216205 0.         0.        ],346.00329922237523,0.818125029190603,[5.58304065 0.53216205 0.         0.        ]
Hypertext graph,1800,0.5,20,409.1229284242587,0.84340773245062,339.0697926335876,0.8173066971571243,317.17766424815994,0.8015841022425274,[4.08126628 0.64615158 0.         0.        ],317.17766424815994,0.8015841022425274,[4.08126628 0.64615158 0.         0.        ]
Hypertext graph,1800,1,5,458.2935600613556,0.8543749610705461,400.2480392340428,0.8469609052940361,342.3055257669481,0.8159063129134312,[5.34110839 0.54427583 0.         0.        ],342.3055257669481,0.8159063129134312,[5.34110839 0.54427583 0.         0.        ]
Hypertext graph,600,2,10,58.12570443914244,0.781734874233397,55.7133894238785,0.7772283043159216,46.93534407800966,0.7337081077845335,[1.53434642 0.61025051 0.03353705 0.        ],46.9197324578532,0.7337081077845335,[1.52034407 0.60368637 0.         0.04680446]
