Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
Hypertext graph,3600,0.5,0.5,1790.9565118397086,0.9123503945000112,1372.7918203627764,0.8884554233678892,2048.3178837830105,0.9069129422890899,[6.34839664 0.57160298 0.12398898 0.1551912 ],2264.1227449035114,0.9073155838091468,[6.28667048 0.59468494 0.00692184 0.26816488]
Hypertext graph,3600,0.1,0.5,1790.9565118397086,0.9123503945000112,1350.1090593650463,0.883723091960126,1654.601166750075,0.9015775124616623,[6.42503971 0.80802933 0.04949707 0.0585046 ],1657.7625157415268,0.9017182181687483,[6.08346363 0.80999516 0.01934795 0.10409449]
Hypertext graph,3600,0.5,0.25,1372.5269912237125,0.8869624491149155,1070.5722957715311,0.8452791513166411,1524.98408459675,0.8941583187315594,[5.15888008 0.51411804 0.11812299 0.13900436],1674.6424626636094,0.8944553599711542,[4.93200886 0.50806508 0.00568388 0.31459125]
Hypertext graph,3600,0.1,0.25,1372.5269912237125,0.8869624491149155,1165.9490606653576,0.844605628398218,1446.9458388635649,0.8896578178601847,[5.40182641 0.65908127 0.12106889 0.10928746],1537.806897722039,0.8898213419264422,[4.88405046 0.64719184 0.02546325 0.25829733]
Hypertext graph,3600,0.5,0.125,1476.328827533314,0.8960479689632919,1166.4110759114428,0.8575007483221638,2156.833800076761,0.9011736632049866,[6.27558416 0.86179552 0.14434725 0.12781409],2336.7025973926993,0.9011834769464586,[5.95001069 0.86497278 0.01195867 0.30572308]
Hypertext graph,3600,0.1,0.125,1476.328827533314,0.8960479689632919,1206.7470787691811,0.8523783921376665,1817.3861451106297,0.8981000235703571,[6.4588581  1.04607088 0.18489093 0.1236347 ],1922.618628519223,0.8980705639171668,[5.79952677 1.03640606 0.03352665 0.34525819]
Hypertext graph,1800,0.1,0.5,520.3215491581146,0.8597796146297588,444.0046342749404,0.8410328760384687,474.6859051744166,0.8501532546733297,[2.19248719 0.79228557 0.14247756 0.06238061],477.15766512210826,0.8502005926893144,[1.5630073  0.75433291 0.04884735 0.26913293]
Hypertext graph,1800,0.5,0.5,520.3215491581146,0.8597796146297588,428.0731453284758,0.8509890315447717,530.6333149652884,0.8539687937445136,[2.9401217  0.53556363 0.17374305 0.14143787],531.3356791784703,0.8543640791897836,[2.84172869 0.55943095 0.04042654 0.27354177]
Hypertext graph,3600,1,0.5,1790.9565118397086,0.9123503945000112,1466.3845264347585,0.8952906626309955,2258.27205045589,0.9119717202006014,[7.41388292 0.51493323 0.15237123 0.14581501],2506.68629488023,0.9119234814488943,[7.34900081e+00 5.09118212e-01 5.30183502e-03 3.65700664e-01]
SFHH graph,3600,0.5,0.5,4993.175041581523,0.8112205894365776,3899.6851887737685,0.782657595836674,6188.614781225454,0.8032049541219972,[12.78602235  0.53675083  0.06968565  0.0992091 ],6154.9230539409755,0.803321915896529,[1.32127063e+01 5.85320735e-01 3.29193715e-04 1.35230767e-01]
SFHH graph,3600,0.1,0.5,4993.175041581523,0.8112205894365776,4084.542628617193,0.7848845817699518,4380.793351712056,0.8005262962658749,[1.14865366e+01 5.55009151e-01 3.03805997e-04 4.22532903e-02],4380.451999471406,0.8005323690363376,[1.18662497e+01 5.86503399e-01 6.24929072e-04 7.25575011e-04]
Hypertext graph,3600,3,0.5,1790.9565118397086,0.9123503945000112,1728.448999923684,0.9134664699208188,2520.6596191194576,0.9202089814609992,[10.09520529  0.33769066  0.12169373  0.11775281],2823.4847865002553,0.9201154349650649,[9.50563088e+00 3.38563672e-01 4.80898286e-03 2.85169880e-01]
Hypertext graph,3600,1,0.25,1372.5269912237125,0.8869624491149155,1128.424849799789,0.852536937854723,2046.631129066531,0.8982311143104551,[6.10079439 0.70504206 0.12652705 0.11762265],2224.8378555328145,0.8980476819164951,[5.74389860e+00 6.89291466e-01 4.82500175e-03 3.26486115e-01]
Hypertext graph,1800,0.5,0.25,409.1229284242587,0.84340773245062,339.0697926335876,0.8173066971571243,456.42019843494677,0.840052302628242,[2.56441281 0.65112312 0.15630316 0.11922531],460.41533591795275,0.8408451465113125,[2.33525405 0.65938052 0.02761719 0.28274968]
Hypertext graph,3600,3,0.25,1372.5269912237125,0.8869624491149155,1325.009376734577,0.8852655676989383,2400.098623835109,0.9004475332102021,[8.44495202 0.52385729 0.09441835 0.087263  ],2604.642909125619,0.9036009467768409,[7.78886540e+00 5.08352432e-01 3.20598857e-03 2.71410281e-01]
Hypertext graph,1800,0.1,0.25,409.1229284242587,0.84340773245062,365.42687189304183,0.8047054620233407,374.76587719022274,0.8370928421999909,[2.04208863 0.63318818 0.16639092 0.10580924],376.57142704414605,0.8371969273628018,[1.79308428 0.62825579 0.04746305 0.25843832]
Hypertext graph,3600,1,0.125,1476.328827533314,0.8960479689632919,1218.4910487635866,0.8684322726452992,2333.2590347470455,0.903902703475734,[6.8876228  0.70971622 0.15516665 0.11289817],2575.139481762624,0.9038165496402241,[6.43980109e+00 6.89636372e-01 4.21011768e-03 3.68541219e-01]
Hypertext graph,3600,3,0.125,1476.328827533314,0.8960479689632919,1426.5497448609005,0.8952955770825601,2509.4573368151655,0.9043260204546572,[9.03729571 0.48941487 0.12527887 0.0938755 ],2826.1701038897454,0.9068032464180004,[8.37442597e+00 4.69906094e-01 2.78417801e-03 3.30944993e-01]
Hypertext graph,1800,0.5,0.125,475.5903563457246,0.8530442549323602,394.12231673573893,0.830753025769128,553.5454254803137,0.8483456424217641,[2.86925774 0.64146199 0.17973271 0.11661985],563.1892860411388,0.8491627682025913,[2.65481735 0.64946457 0.03946593 0.295858  ]
Hypertext graph,1800,0.1,0.125,475.5903563457246,0.8530442549323602,411.5022976965153,0.8177866113916458,445.10360484922944,0.8464864633941341,[2.65759911 0.53727241 0.21168134 0.09898945],452.6792515729827,0.8467782391710589,[2.4040193  0.52394803 0.06683905 0.32242899]
SFHH graph,3600,0.1,0.25,5262.907161526398,0.8695553733949821,4718.4407962917585,0.8253884337608963,5741.905250552345,0.849676633602768,[15.38930382  0.55283888  0.04570003  0.16945038],5916.460371232966,0.8501355359766216,[1.70979358e+01 6.14354506e-01 8.93271437e-03 2.05616415e-01]
SFHH graph,3600,0.5,0.25,5262.907161526398,0.8695553733949821,4302.176124030918,0.8266035053983672,6080.9320286977,0.8515087899156523,[15.08831685  0.50046353  0.04633976  0.1940601 ],6329.376181486235,0.8517065459415999,[1.65827376e+01 5.84899679e-01 1.11019432e-02 1.82083206e-01]
Hypertext graph,1800,1,0.5,520.3215491581146,0.8597796146297588,444.8977859964523,0.8563782085442556,629.8238108187595,0.8501992942464709,[3.71754145 0.49485241 0.16451653 0.15774768],622.4161115475514,0.8521345864731688,[3.66952527 0.53767194 0.05626486 0.22667086]
SFHH graph,3600,0.1,0.125,7098.515598536331,0.8818464930879755,6074.939094090489,0.8635580589078607,8766.701832842242,0.8711856553205717,[19.05589239  0.40241931  0.06836449  0.18594738],8921.271924930583,0.8746197798972056,[2.23719734e+01 4.64868568e-01 1.29750332e-02 2.52361917e-01]
SFHH graph,3600,0.5,0.125,7098.515598536331,0.8818464930879755,6024.063075079633,0.8637519928465738,9281.437984443379,0.8715175292939492,[18.81879095  0.40424306  0.07827369  0.17991875],9421.71937567654,0.8755807235687372,[2.21535617e+01 4.61533097e-01 1.47584141e-02 2.68052793e-01]
SFHH graph,1800,0.1,0.5,1050.2696668725944,0.7744976679617008,1125.1749496697328,0.721287572872778,912.305567756308,0.7480356086936603,[4.11238214 0.64258165 0.01471144 0.02627172],931.3819630308054,0.7480307552515928,[3.33571921 0.62477215 0.01178813 0.09338849]
SFHH graph,1800,0.5,0.5,1050.2696668725944,0.7744976679617008,971.0091182010633,0.7054775058993015,1022.691640149334,0.7556397799059802,[4.47457737 0.45249071 0.10524443 0.1891743 ],1025.032521759523,0.7555843340500857,[4.84102933 0.49106035 0.02167934 0.33295979]
Hypertext graph,1800,3,0.5,520.3215491581146,0.8597796146297588,505.40757524040316,0.8579618424009416,858.2250738084206,0.8433349582459994,[4.78248646 0.41316587 0.13312763 0.1333767 ],831.6568131956027,0.8416059628125827,[4.69072786 0.43759497 0.05102526 0.20494919]
Hypertext graph,1800,1,0.25,409.1229284242587,0.84340773245062,352.0334048948178,0.8332996956087635,645.9402239238982,0.8369460200552541,[3.2800022  0.631222   0.15177095 0.13965113],648.6830628687524,0.838871008180246,[3.07140705 0.64957203 0.04149251 0.27670186]
SFHH graph,3600,1,0.5,4993.175041581523,0.8112205894365776,4065.933683831249,0.7631078653464879,7005.132698069467,0.8066374208606383,[15.19848623  0.36073255  0.07140897  0.19326202],7612.243579415142,0.8066374208606383,[1.57111706e+01 3.87291322e-01 7.41708301e-03 3.84413216e-01]
